Ime,1.registracija,Prevoženih,Gorivo,Menjalnik,Motor
Volkswagen Passat CC 1.8 TSI avt.,2011,270000 km,bencinski motor,avtomatski menjalnik,160 KM
Kia Ceed,2008,200000 km,bencinski motor,ročni menjalnik,109 KM
Opel Insignia 2.0 CDTI EDITION VELIKA NAVI-PDC-TEMP.-ALU-XENON-,2015,241031 km,diesel motor,ročni menjalnik,163 KM
Renault Clio Rip Curl2 1.2 16v 3V,2008,263000 km,bencinski motor,ročni menjalnik,75 KM
Opel Grandland X 1.5 DIESEL 130 Elite - BOGATO OPREMLJEN,2020,140000 km,diesel motor,ročni menjalnik,131 KM
Audi A4 Avant 2.0 TDI S tronic 110  150,2016,270000 km,diesel motor,avtomatski menjalnik,150 KM
BMW serija 4 Gran Coupe: 420i Sport Line KOT NOV. MOŽNOST MENJAVA. UGODNO,2018,125000 km,bencinski motor,ročni menjalnik,184 KM
Mercedes-Benz GLC-Razred GLC 220 d 4MATIC AMG,2018,60000 km,diesel motor,avtomatski menjalnik,170 KM
Citroen C4 Grand Picasso Seduction BlueHDi 150 2.0-AVT-NAVI-PDC-LEASING,2015,251000 km,diesel motor,avtomatski menjalnik,150 KM
BMW serija X5: xDrive35d-BI-XENON-NAVI-PDC-SERVISNA KNJ,2010,329000 km,diesel motor,avtomatski menjalnik,286 KM
Škoda Fabia Style Combi 1.0 TSI 81kW,2017,90000 km,bencinski motor,ročni menjalnik,110 KM
Volvo XC60 D3 Momentum,2018,214000 km,diesel motor,ročni menjalnik,150 KM
Volkswagen Polo,2005,215000 km,diesel motor,ročni menjalnik,101 KM
Proton serija 400: persona 416 GLXi,1996,216000 km,bencinski motor,ročni menjalnik,113 KM
Volkswagen Golf 1.6 TDI BMT 40 let XENON,2014,204000 km,diesel motor,ročni menjalnik,105 KM
Volkswagen Golf 1.6 TDI BlueMotion Tech Comfort.77kW,2012,227800 km,diesel motor,ročni menjalnik,105 KM
Mercedes-Benz E-Razred E 200,2019,70000 km,bencinski motor,avtomatski menjalnik,184 KM
Audi A6 3.0 TDI quattro S-TRONIC-NAVI-PDC-TEMP,2013,265000 km,diesel motor,avtomatski menjalnik,204 KM
Renault Clio °°Life 1.2 16v°°1LAST°°SLO°°94000KM°°SAMO Z OSEBNO,2017,9300 km,bencinski motor,ročni menjalnik,75 KM
Volkswagen Passat 3.2 FSI 4M R 32 4 MOTION DSG,2010,217900 km,bencinski motor,avtomatski menjalnik,250 KM
Seat Ibiza Fresc STELLA 1.4 16V 75,2004,210000 km,bencinski motor,ročni menjalnik,75 KM
Suzuki Ignis 1.2 VVT 4x4 SAMO 79.900KM-VRHUNSKI-ALU-GRE.SEDEŽEV,2018,79900 km,bencinski motor,ročni menjalnik,90 KM
Seat Leon 1.2 TSI,2012,239700 km,bencinski motor,ročni menjalnik,105 KM
Volkswagen Golf 2.0 TDI-LEASING-HIGHLINE-TEMPO-MULTI VOLAN-,2012,200000 km,diesel motor,ročni menjalnik,140 KM
Audi TT ROADSTER 2.0 TFSI NAVI-USNJE-PDC-TEMPOMAT-MENJAVA,2007,151000 km,bencinski motor,ročni menjalnik,200 KM
Renault Megane 1.9 dCi - Financiranje brez pologa,2010,270000 km,diesel motor,ročni menjalnik,131 KM
BMW serija X3: xDrive20d-135KW-AUT-VELIKA NAVI-KAMERA-USNJE-XENON,2012,200000 km,diesel motor,avtomatski menjalnik,184 KM
Kia Pro_Ceed 1.4 CVVT   80 kW LX FRESH,2009,168150 km,bencinski motor,ročni menjalnik,109 KM
Mercedes-Benz C-Razred C 200 Kopmpressor,2009,298288 km,bencinski motor,ročni menjalnik,184 KM
Renault Megane 1.5DCI 85 ELAN,2008,252000 km,diesel motor,ročni menjalnik,86 KM
BMW serija X1: X1 xDrive20d-M PAKET-4X4-HARMAN KARDON-PANORAMA,2018,199900 km,diesel motor,ročni menjalnik,190 KM
Volkswagen Passat Variant 2.0 TDI-LEASING ZA TUJCE-NAVI-TEMPOMAT-GR.SED-PDC,2012,194785 km,diesel motor,ročni menjalnik,140 KM
Volkswagen Tiguan 2.0 TDi DSG7 Elegance - SLO - le 29.170 km,2021,29170 km,diesel motor,avtomatski menjalnik,150 KM
BMW serija 3 Touring: 320d M Sport,2020,93699 km,diesel motor,avtomatski menjalnik,190 KM
Volkswagen Golf,2010,278000 km,diesel motor,ročni menjalnik,105 KM
Toyota Yaris 1.5 VVT-iE Mienium 20 let Yaris. Kamera -navi...,2019,73000 km,bencinski motor,ročni menjalnik,111 KM
Renault Megane Expression dCi 90,2013,167139 km,diesel motor,ročni menjalnik,90 KM
Audi A7 3.0 TDI-S LINE-ZRAČNO-MATRIX-STR.OKNO-KAMERA-USNJE,2015,179582 km,diesel motor,avtomatski menjalnik,272 KM
Citroen C3 Attraction HDi 70 BVM,2014,159000 km,diesel motor,ročni menjalnik,68 KM
Audi A4 Avant 1.8i KLIMATRONIK 92kw LES PRIKLOP,1998,233000 km,bencinski motor,ročni menjalnik,125 KM
Ford S-Max TREND 1.8 TDCi  125KM,2010,305888 km,diesel motor,ročni menjalnik,125 KM
Renault Twingo 1.2,1999,168000 km,bencinski motor,ročni menjalnik,58 KM
BMW serija 5: 525d-AUT-XDRIVE-4X4-VELIKA NAVI-KAMERA-USNJE-2XPDC,2013,237856 km,diesel motor,avtomatski menjalnik,218 KM
Audi A4 2.0 TDI quattro S tronic Sport 140kW MATRIX ALU19,2017,179000 km,diesel motor,avtomatski menjalnik,190 KM
Opel Corsa 1.4 16V…AVTOMATIK…43.000km,2012,43000 km,bencinski motor,avtomatski menjalnik,101 KM
Renault Espace 2.0 dCi 150 Initiale,2010,276000 km,diesel motor,ročni menjalnik,150 KM
Volkswagen Tiguan Allspace 2.0TDI 4M  R-Line-FULL LED-ACC-NAVI-KAM-VL. KLUKA,2020,146500 km,diesel motor,avtomatski menjalnik,190 KM
Kia Picanto 1.0 LX SPORT ABS AC SLOVENSKA. 2.LASTNICA,2005,158000 km,bencinski motor,ročni menjalnik,63 KM
Audi A7 3.0 TDI quattro S tronic 180  245,2014,270000 km,diesel motor,avtomatski menjalnik,245 KM
Opel Zafira 2.0 CDTI 121KW COSMO AUTO- 7 SEDEŽEV,2014,340000 km,diesel motor,avtomatski menjalnik,165 KM
Mercedes-Benz C-Razred C 220 CDI-125KW-LEASING-XENON-GR.SEDEŽEV-NAVI-,2013,233856 km,diesel motor,ročni menjalnik,170 KM
Citroen C3 Picasso VTi 120 - SAMO 60000 KM - ODLIČNO OHRANJEN -,2013,60000 km,bencinski motor,ročni menjalnik,120 KM
Volkswagen Passat Variant 2.0 TDI BlueM.Tech. Highline avt. 103kW,2011,355000 km,diesel motor,avtomatski menjalnik,140 KM
Fiat Bravo 1.4 T-Jet 16v 120 Emotion,2009,191500 km,bencinski motor,ročni menjalnik,120 KM
Volkswagen Multivan BENCIN 2.0 TSI BULLI EDITION,2023,13700 km,bencinski motor,avtomatski menjalnik,204 KM
Suzuki SX4 S-Cross 1.4 BOOSTERJET ELEGANCE TOP 4WD AUTO,2019,51100 km,bencinski motor,avtomatski menjalnik,140 KM
Škoda Octavia 2.0 TDI Style 110 kW,2016,198000 km,diesel motor,ročni menjalnik,150 KM
Mercedes-Benz E-Razred E 220CDI-AUT-AVANTGARDE-GR+EL.SEDEŽEV-NAVI-2XPD,2014,236854 km,diesel motor,avtomatski menjalnik,170 KM
Hyundai i20 1.2 CVVT COMFORT,2018,58000 km,bencinski motor,ročni menjalnik,84 KM
Ford Fusion 1.6l  100KM,2006,153000 km,bencinski motor,ročni menjalnik,101 KM
Audi Q5 2.0 TDI DPF quattro 125kW S tronic,2011,259000 km,diesel motor,avtomatski menjalnik,170 KM
Mercedes-Benz CLK-Razred CLK 270 CDI AVANTGARDE,2004,409000 km,diesel motor,avtomatski menjalnik,170 KM
Renault Megane Blue dCi 115 FAP INTENS EDC,2020,33000 km,diesel motor,avtomatski menjalnik,116 KM
Peugeot 5008 1.6 HDI 110 FAP 1.LASTNIK-SLO-150.000km,2012,150000 km,diesel motor,ročni menjalnik,111 KM
Volkswagen Passat 2.0 TDI+LIMO+TEMPOMAT+MULTI.VOLAN+ALU+RADIO CD,2005,302739 km,diesel motor,ročni menjalnik,122 KM
BMW serija X2: xDrive20d ... M SPORT X,2019,87910 km,diesel motor,avtomatski menjalnik,190 KM
Audi SQ7 4.0TDI|quattro|7SEDEZEV|MATRIX|KAMERA|ZRACNO|ACC,2017,153000 km,diesel motor,avtomatski menjalnik,435 KM
Mercedes-Benz C-Razred W205,2000,165000 km,bencinski motor,ročni menjalnik,156 KM
Volkswagen Golf 2.0 FSI turbo GTI-XENON-TEMPOMAT-17COL-KREDIT...,2007,273000 km,bencinski motor,ročni menjalnik,200 KM
